continent,date,population,total_cases,new_cases,total_vaccinations,people_vaccinated,total_tests,new_tests,Percentage,year,month,day
Africa,2020-02-07,97386783.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,2020,2,7
Africa,2020-02-08,97386783.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,2,8
Africa,2020-02-09,97386783.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,2,9
Africa,2020-02-10,97386783.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,2,10
Africa,2020-02-11,97386783.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,2020,2,11
Africa,2020-02-12,97386783.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,2,12
Africa,2020-02-13,97386783.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,2020,2,13
Africa,2020-02-14,201645110.0,1.0,1.0,0.0,0.0,71.0,4.0,4.959207788376321e-07,2020,2,14
Africa,2020-02-15,201645110.0,1.0,0.0,0.0,0.0,10.0,0.0,4.959207788376321e-07,2020,2,15
Africa,2020-02-16,201645110.0,1.0,0.0,0.0,0.0,0.0,0.0,4.959207788376321e-07,2020,2,16
Africa,2020-02-17,201645110.0,1.0,0.0,0.0,0.0,0.0,0.0,4.959207788376321e-07,2020,2,17
Africa,2020-02-18,201645110.0,1.0,0.0,0.0,0.0,0.0,0.0,4.959207788376321e-07,2020,2,18
Africa,2020-02-19,201645110.0,1.0,0.0,0.0,0.0,106.0,0.0,4.959207788376321e-07,2020,2,19
Africa,2020-02-20,201645110.0,1.0,0.0,0.0,0.0,106.0,11.0,4.959207788376321e-07,2020,2,20
Africa,2020-02-21,201645110.0,1.0,0.0,0.0,0.0,0.0,0.0,4.959207788376321e-07,2020,2,21
Africa,2020-02-22,201645110.0,1.0,0.0,0.0,0.0,12.0,0.0,4.959207788376321e-07,2020,2,22
Africa,2020-02-23,201645110.0,1.0,0.0,0.0,0.0,13.0,1.0,4.959207788376321e-07,2020,2,23
Africa,2020-02-24,201645110.0,1.0,0.0,0.0,0.0,130.0,1.0,4.959207788376321e-07,2020,2,24
Africa,2020-02-25,246261736.0,2.0,1.0,0.0,0.0,15.0,1.0,8.121440352389946e-07,2020,2,25
Africa,2020-02-26,246261736.0,2.0,0.0,0.0,0.0,138.0,2.0,8.121440352389946e-07,2020,2,26
Africa,2020-02-27,246261736.0,2.0,0.0,0.0,0.0,19.0,2.0,8.121440352389946e-07,2020,2,27
Africa,2020-02-28,474858748.0,3.0,1.0,0.0,0.0,1.0,1.0,6.317668175294941e-07,2020,2,28
Africa,2020-02-29,474858748.0,3.0,0.0,0.0,0.0,25.0,0.0,6.317668175294941e-07,2020,2,29
Africa,2020-03-01,474858748.0,4.0,1.0,0.0,0.0,0.0,0.0,8.42355756705992e-07,2020,3,1
Africa,2020-03-02,474858748.0,8.0,4.0,0.0,0.0,189.0,0.0,1.684711513411984e-06,2020,3,2
Africa,2020-03-03,474858748.0,11.0,3.0,0.0,0.0,200.0,10.0,2.316478330941478e-06,2020,3,3
Africa,2020-03-04,502231292.0,21.0,10.0,0.0,0.0,1477.0,16.0,4.181340417155847e-06,2020,3,4
Africa,2020-03-05,502231292.0,24.0,3.0,0.0,0.0,1472.0,9.0,4.778674762463825e-06,2020,3,5
Africa,2020-03-06,584441256.0,43.0,19.0,0.0,0.0,299.0,12.0,7.357454587360616e-06,2020,3,6
Africa,2020-03-07,584441256.0,43.0,0.0,0.0,0.0,1747.0,48.0,7.357454587360616e-06,2020,3,7
Africa,2020-03-08,584441256.0,83.0,40.0,0.0,0.0,20.0,2.0,1.4201598389556538e-05,2020,3,8
Africa,2020-03-09,584441256.0,91.0,8.0,0.0,0.0,1523.0,6.0,1.557042714999572e-05,2020,3,9
Africa,2020-03-10,605938353.0,104.0,13.0,0.0,0.0,1532.0,9.0,1.716346217153876e-05,2020,3,10
Africa,2020-03-11,725369968.0,118.0,14.0,0.0,0.0,680.0,8.0,1.6267560721510322e-05,2020,3,11
